age,income_level,gender,minority_status,neighborhood_score,community_program_participation,neighborhood_satisfaction
11,4,1,1,14.892252153071013,0,8.833335899502215
6,5,1,1,16.19265078082227,1,14.901481215793426
4,6,1,0,10.53477828680102,0,3.148569010623205
4,5,1,1,16.167775185275353,1,14.473191919305446
6,6,1,1,16.640859565838188,1,14.689258829433784
4,6,0,1,14.91792394179969,0,10.408933215634786
5,5,1,1,14.95320079619136,0,9.776665408915406
6,4,0,1,16.67026914834981,1,14.433965377942789
8,6,1,0,13.30827343224851,0,6.872439228983993
12,2,1,0,11.76399977503555,0,3.385052249632565
7,7,0,1,18.512161302952727,1,15.410128165691145
6,5,0,1,17.042616014703796,1,14.35353049415019
5,5,1,0,17.965759602280258,1,15.404993187155055
11,5,0,1,18.663133157503808,1,16.6580861220742
2,4,1,1,12.690469278423958,0,6.2707753808343405
3,7,1,1,16.569737051489533,1,15.42642554147219
5,3,0,1,14.52094247070955,0,8.992985922113615
8,7,0,0,17.34385081141249,1,16.432429587716992
9,6,0,1,17.941249789793783,1,14.678215457210316
5,5,1,1,20.12975999201262,1,17.18573114414181
4,5,1,0,16.502913450514896,1,13.340060292358777
9,4,0,1,17.204294464874476,1,13.37746869404776
7,4,0,0,13.93923121561722,0,7.97618776039876
6,5,1,0,17.65618978666742,1,14.728692789057558
7,3,1,1,14.220475203698731,0,8.051418703094797
7,6,1,0,13.255501624366191,0,7.502494901799044
6,4,0,1,17.030930293413743,1,14.466630825289055
10,6,0,1,14.14045132179058,0,8.212604091920893
3,4,0,0,13.979189411900672,0,8.533578336293207
5,8,1,1,14.31552046539767,0,7.908624206501091
11,10,0,0,16.96483608790852,1,14.33876622429741
2,4,0,1,11.638067095377307,0,5.383853014561766
10,5,0,1,15.634535260516689,1,13.126151660881426
13,6,0,1,14.618125603113548,0,7.498927729255652
9,2,1,1,15.499385726555708,1,13.153414642546217
14,5,1,0,12.550830762166065,0,4.9919940088013535
7,5,0,1,14.094703205703206,0,7.541313248686122
9,3,1,0,13.8578361932942,0,7.656678367669489
8,5,0,1,16.081396340733182,1,13.460727945445967
4,6,0,1,14.545795337019069,0,9.925410652054998
7,5,1,0,16.628200339687147,1,14.500673910254836
7,5,0,1,12.57004992998673,0,6.378550480804557
11,6,1,0,18.01383921223484,1,14.862344442903035
9,6,0,0,14.866471859386284,0,9.758987184492511
11,4,0,0,14.59021305239875,0,8.441210281597803
3,5,1,1,16.488501074464978,1,14.334301586609737
3,4,0,0,15.89204975849061,1,14.492546699108212
4,5,0,0,13.168649435703482,0,6.7936945782679885
0,7,0,1,12.623058865550124,0,6.732881436484654
5,7,0,1,14.68687117870549,0,9.52800462664589
13,7,0,0,18.151999195187475,1,15.5735779112766
9,5,0,1,13.305912958411524,0,6.860304199344334
7,3,1,1,17.71206192747037,1,15.03693059960054
7,3,0,1,13.82547567576558,0,6.395798643462153
9,6,1,0,16.111505173516083,1,13.303619567010808
5,5,0,1,15.020760523226585,1,13.738571972203964
4,7,0,1,17.17334460324735,1,15.590603177111232
11,7,0,0,14.642851565207366,0,8.915338912377202
6,3,0,1,17.138602633639806,1,14.9213066380787
7,5,0,0,16.348083412183964,1,14.376095411194983
9,4,0,1,16.09775789035549,1,13.548953253597338
7,3,0,1,13.421377523775272,0,7.26831762319091
6,5,1,1,14.483352658738957,0,8.775063225882203
8,4,0,0,11.900873244329125,0,4.705985289462061
12,5,0,0,16.224533094023812,1,13.847756952673056
5,6,1,0,15.157605216605182,1,13.521046526051148
5,5,1,1,16.628215192525246,1,14.707133478256024
9,6,1,0,16.725128577967727,1,13.925335035978414
8,6,1,0,14.26205293304721,0,8.178109104745612
10,5,0,0,17.23773304364153,1,14.44713266191678
8,5,1,1,13.4488637103174,0,6.9755724201822815
10,5,1,0,12.276817773579006,0,6.037799507942369
15,4,1,1,12.890106875104088,0,5.130933812082227
6,7,0,0,17.50156634139822,1,16.2680475127389
4,4,0,1,19.310948348372214,1,17.59951265162187
11,6,1,1,13.729529678571703,0,7.259317911111973
14,5,1,0,10.172943455622844,0,0.7860568926754833
13,6,1,0,14.903652290090376,0,8.705823045708831
5,6,1,0,18.986551076128016,1,17.241540462422147
0,5,0,0,16.065254228063576,1,15.621550490381754
15,8,1,1,15.041537975534132,1,11.95627222000188
6,5,0,0,12.91785141955943,0,7.464680895194794
7,7,0,1,12.72484337225547,0,6.798228585743473
9,5,1,0,16.524546725062876,1,13.658920088418524
7,6,0,0,13.454033281278145,0,6.620712703845829
5,7,1,0,11.069388045281697,0,3.810183878840743
8,5,1,1,14.385619717227875,0,7.777908629718235
8,6,0,0,19.0554373482679,1,16.8124090717212
9,4,0,0,13.54989646866044,0,7.287368479413812
7,7,0,0,15.847744062978364,1,14.118692900951157
5,5,0,0,12.431528379830205,0,5.999793931568044
7,5,0,1,14.332037301187372,0,8.427461396159822
7,6,0,0,14.224327376665316,0,8.738075559920784
5,7,0,0,14.598581602117694,0,8.575186711517512
5,8,1,0,14.67214423851236,0,8.388821250577255
14,5,1,1,12.796014162687827,0,5.240341771708432
4,4,1,1,15.157770063319568,1,13.537588435522595
10,4,1,0,12.691434394544922,0,6.905174848613746
11,6,0,0,12.717156682274156,0,6.325132394333727
6,7,1,0,12.50498916019683,0,6.379944095387306
8,8,0,0,15.71550311475181,1,14.42211667009104
10,6,1,1,16.63453624485341,1,14.0991269085142
2,4,0,1,15.319108869135995,1,14.274549250641869
7,7,1,0,15.203271250817432,1,13.043370229101392
3,3,1,1,14.73799166922201,0,8.882311877909027
11,7,1,1,14.7045519108539,0,8.77980041105549
11,4,1,0,15.523261579833044,1,12.463368928282964
5,6,0,0,15.576454196215254,1,13.7153234921099
5,5,1,1,9.78889797181969,0,1.302070241044469
10,5,1,0,15.884205645438223,1,13.418333477298027
7,7,0,0,13.664854750476428,0,7.716530479434621
2,4,1,1,12.52822010791831,0,6.744994912008004
2,5,0,0,17.19962548898598,1,15.994398254566438
3,4,1,0,17.754184970506152,1,15.746286195145924
5,6,0,1,14.409000011758346,0,9.176465236982269
9,7,0,0,14.482434672622816,0,7.925833153078502
11,5,1,0,16.34187070987363,1,13.659925748926549
5,5,0,1,15.290999808875483,1,12.860031549790577
2,4,0,0,12.275428143220235,0,6.132044579924501
7,6,0,0,16.388407706932412,1,13.304740609450144
3,6,0,0,16.769610689129397,1,14.936240762642711
9,7,0,0,14.037041762686911,0,7.374605056970866
8,7,1,1,13.217112625886244,0,6.662931158855733
11,4,1,1,11.671272247914107,0,4.702056049891667
8,3,0,0,16.782595685433808,1,14.142007434512138
10,3,0,0,10.675051393542596,0,3.332834820481821
11,8,1,0,13.354065603554394,0,6.339970302121422
6,7,0,0,15.00856196601249,1,13.85605524748378
4,2,0,1,17.250540298482417,1,14.810982086660504
14,6,1,0,18.468831568132376,1,14.80451649030534
4,5,0,0,13.31778282531317,0,7.439413267893489
9,7,1,0,17.67595563922719,1,14.321055570212431
5,5,1,0,13.925423802134327,0,8.035889666253409
10,4,0,1,15.630825346469964,1,12.457659808064426
8,7,1,1,14.978312055673356,0,9.52314159122762
3,5,0,0,14.448579819054526,0,8.92989687667392
4,5,0,0,13.001229998542978,0,7.345704526452717
8,5,1,0,13.89527017634254,0,7.560918203032484
7,6,0,0,11.235315978956296,0,3.69759241663031
5,6,0,1,15.478947673360675,1,13.923130374381822
9,7,0,0,13.272858267057464,0,6.788805853003829
8,8,1,1,14.305159792257452,0,8.50439372472005
9,4,0,1,13.395832082213094,0,6.368097814406126
6,6,1,1,12.653343696886983,0,6.722184140772168
5,6,0,1,10.982448672986608,0,4.493466044418793
6,6,1,0,12.370947131265208,0,5.614272906473214
12,7,0,0,13.443505918578593,0,6.186928092374875
