student_age,parent_education_level,low_income_status,gender,pre_program_gpa,program_participation,post_program_gpa
2,5,1,0,7.176356183170067,0,9.49822723942884
11,5,1,1,5.12504087244686,0,7.295458724894825
7,7,1,1,10.302108653949816,1,17.604100637702338
9,8,0,0,5.6553219813300295,0,8.214242886264756
2,6,1,0,8.134674947584262,1,15.791123869183204
4,6,0,0,8.477001848081825,1,16.151146185188086
9,6,1,0,5.963902992950056,0,8.758208730606437
3,8,1,0,2.700206033440381,0,1.9482519478943363
11,4,1,0,5.360345124096308,0,7.325392011192702
10,6,1,1,4.047382322754109,0,6.047867666159025
10,5,1,0,7.817943646950153,0,11.17510391067598
11,6,1,1,7.510365151508128,0,10.713633495814602
9,5,1,1,7.55347789142567,0,10.463404656189534
10,6,0,0,6.294761220641078,0,8.344356412067391
7,6,0,0,7.65222643966038,0,9.914982603795792
9,6,0,0,6.947568567028863,0,9.632973690947848
7,6,1,1,8.552611901708424,1,16.680848983483788
9,7,0,1,6.544693746473836,0,9.193865230990353
8,5,1,1,10.1335084033885,1,18.19982238348366
7,6,1,1,10.580883772559933,1,17.76613598065527
11,6,1,0,2.2103131317859024,0,3.1897972098411165
11,6,1,0,7.6435042571426175,0,10.371859820830169
6,5,1,0,9.725385898796816,1,16.949771356845126
7,7,0,0,5.556628571937389,0,7.551455706622975
10,8,0,0,8.013997529883973,1,17.123020521160914
5,5,1,1,7.511653894656993,0,10.577074644609894
15,6,0,1,9.535843579657044,1,18.406674988706406
5,6,0,0,9.419862065959697,1,17.703649756318114
7,3,1,0,7.108552360154845,0,8.681031766658839
12,6,1,0,10.322924008524812,1,18.13914580149693
4,7,1,0,7.6611808713441185,0,9.739831934365176
12,8,1,1,7.554142302693347,0,10.345982841253752
10,6,1,0,7.768714843885008,0,11.265180144459846
7,6,1,0,8.004838703199164,1,15.833495544039051
4,5,0,1,1.184383673614544,0,-0.2030314810404332
5,7,1,1,8.071984398416713,1,15.830727383127016
6,4,0,0,9.904090294614436,1,17.77740822142067
6,6,0,0,5.629451196985839,0,6.7177621234458655
11,5,1,0,6.5139145978665525,0,8.837739309143254
8,5,1,1,12.131334820920753,1,19.71039327804436
3,5,0,1,8.87719342778666,1,16.371618225960017
7,3,0,0,5.962925095257964,0,7.747006282748222
5,7,1,0,6.858255764621039,0,9.269688623810374
3,6,0,0,10.532635199389944,1,17.523339825561628
8,3,1,0,7.203589926662013,0,9.9874706560499
12,6,0,0,11.45980510476951,1,20.697170275498696
11,5,1,1,8.52071862989458,1,16.89872796357544
9,2,0,0,12.876297365819728,1,19.90567671936347
4,7,1,1,9.3513328576796,1,16.928756557547686
13,3,0,0,6.842828926174384,0,10.242942316871508
3,6,0,0,8.457276749645452,1,15.437263180408229
11,7,0,1,7.556784417704426,0,11.89922511654628
