age,previous_experience_years,gender,minority_status,job_satisfaction_score,job_training_program,income_change
11,5,1,0,18.8400596141428,1,13.211039307340451
9,5,0,0,16.458438299886645,0,7.229778081381602
4,5,0,0,17.343395131718438,1,14.774576713074945
11,7,1,0,18.79420145845744,1,14.11361721391443
9,8,0,0,17.60440604775147,1,13.022685550080512
9,7,1,0,18.68910489312217,1,14.235668718137216
3,4,1,1,17.48268494491068,1,13.172181783893857
10,5,0,1,20.37375047885763,1,15.426283108993593
7,5,0,1,17.755362309642894,1,12.774695771379855
9,7,0,0,21.091557870122585,1,16.433768535310072
7,7,0,0,17.904539039344424,1,13.43810504626394
5,8,0,0,15.986156870426464,0,8.294203164011108
8,6,1,0,18.64090095142303,1,14.568425986586838
4,6,0,1,17.597527219600266,1,13.319347066065747
13,6,0,1,18.67905890829094,1,12.877721075812357
10,4,1,1,17.657426224011594,1,11.826689428231449
10,3,0,0,17.82565473532276,1,12.125505385325122
12,5,0,1,15.462802830509004,0,6.168116325193761
3,3,1,0,16.370359872136316,0,9.259407934853606
4,5,1,0,16.75663267437926,0,9.34350236681186
8,6,0,0,19.09863760337436,1,14.32627205365998
3,4,0,1,14.895929873414126,0,6.415703936460821
12,5,0,0,17.773087968959093,1,13.577362694982332
4,8,1,0,13.19621173998608,0,4.152677949744468
3,7,0,1,17.10863778951407,1,14.004396683988
8,5,0,0,15.55143630822526,0,7.06539503162315
6,7,0,1,17.07253789693396,1,13.91139417544015
10,2,0,0,18.03629380743232,1,13.223066483817243
11,5,1,0,16.482893935228976,0,6.888361228659412
8,6,0,0,15.163809325873014,0,6.0937426080130255
14,4,0,0,15.165551361432364,0,5.225626294923937
4,4,0,1,12.886504402192152,0,3.0885189998981555
3,5,0,0,17.17547088143121,1,14.063483165793611
8,3,0,0,16.57025979638113,0,8.718240093904601
9,7,0,0,17.892916800763114,1,13.876406215591222
7,8,0,0,16.28836348635931,0,8.088756400399214
4,5,0,0,16.28296773047185,0,7.628164961993074
6,5,1,0,15.322847404418978,0,6.519245525143733
2,3,0,1,16.99652147680319,0,10.216694941876291
8,3,0,0,17.067657463987963,1,13.999222176817678
4,6,0,0,17.61135184827677,1,14.387388079759932
8,4,0,1,16.94711517651026,0,8.746166301078103
8,3,1,0,15.48845034037957,0,6.397522850214082
8,5,1,1,15.962806337426985,0,7.625711964903507
9,5,0,0,19.89382693584673,1,15.816589337488685
11,3,0,0,16.344613072983652,0,7.331244891939324
15,7,1,0,12.682905187564998,0,1.3789643124265647
6,8,0,0,19.31389167246076,1,16.53636326034687
9,8,1,0,16.059754345301112,0,7.180473197321978
8,6,1,0,18.822887394512893,1,15.329045773038844
13,8,1,0,16.05008442167179,0,6.315977075973725
14,4,0,1,16.257680850081258,0,6.049362113160473
12,6,1,0,14.307390047696371,0,3.142189644911685
6,6,1,0,16.018340654782065,0,6.776564550665926
10,9,0,0,13.477692091084595,0,3.172981912351653
7,4,0,0,15.145877127815243,0,5.835349857821544
11,7,0,0,17.07327425014904,1,13.009429957518226
5,7,0,1,20.62980825349443,1,16.72862110793352
11,5,0,0,16.686582930210985,0,8.576397216082436
7,5,1,0,18.60246551873662,1,14.058800794570828
4,4,0,0,13.599270038054453,0,4.507838123681397
6,4,0,0,19.93462139360086,1,15.789814504762605
11,6,1,0,15.82808228005118,0,7.319602052898912
7,6,0,0,17.038351824893027,1,13.547143986114142
5,8,0,0,16.41936397793609,0,9.656937748151968
10,5,0,0,16.734227600502024,0,8.329669598252238
5,5,0,0,17.342729426431315,1,13.478124331828347
5,5,0,0,17.460983805574884,1,13.863524661125224
7,6,0,0,12.201944366214924,0,0.8167281147296974
7,6,1,0,15.04885188652707,0,6.208577879256119
7,5,0,0,17.028101879647675,1,12.990646413280295
7,6,0,1,17.195228520885177,1,12.891873043766742
5,5,0,0,19.29446749146287,1,15.534044377060544
12,3,0,1,17.060511626413593,1,11.786784166715568
10,4,0,1,19.479708206608603,1,14.85867160974833
11,3,1,1,15.531427350823687,0,5.823809578463769
9,4,1,1,17.482015545717598,1,13.086070197244522
8,5,0,0,16.094833999288078,0,7.15424791350838
2,4,0,1,14.348365309799735,0,5.483469009614141
2,5,0,0,14.084102329684509,0,6.110697640551189
8,7,0,1,17.483261297939478,1,13.143704806221896
10,7,0,1,20.68970934355965,1,15.4574727705803
8,7,1,0,17.980145460399903,1,13.960680840178528
5,5,1,1,16.418798097471278,0,7.9833735794032705
16,7,1,0,15.045647546938156,0,5.308084785154536
7,3,1,1,18.69591903310995,1,14.769953393975474
5,6,0,1,21.647742896555496,1,18.033681889176226
4,3,1,1,14.36025654333076,0,5.338682759299482
12,7,0,0,16.61954329053277,0,8.127348936477617
10,8,0,1,16.176003544326946,0,6.7311524853752775
9,5,1,0,17.266406980824623,1,13.316402600021204
8,10,0,0,15.366566985329118,0,6.959188177342499
6,7,0,1,19.237058989048727,1,15.452351016910155
10,5,1,1,17.077798526250547,1,11.81966916308187
5,4,0,0,17.76451150316802,1,14.55226452949253
8,4,0,0,17.115653492220314,1,13.142138557495583
6,4,0,1,21.2478970671432,1,16.168082844686015
6,7,0,1,17.16764309726029,1,13.308372904594428
3,6,0,0,21.092341303691413,1,17.25142131463922
2,5,0,0,17.59467950774232,1,14.95519611562298
7,9,0,1,19.677707358679747,1,14.739772619199664
5,5,0,1,15.708379857674572,0,6.990894408438381
5,6,0,1,19.50650754598007,1,15.420728130403916
6,6,0,1,13.57836435498274,0,3.9971261054091234
7,5,0,0,14.138744728095814,0,5.355108456999684
10,6,0,1,18.80243998282617,1,13.504517770444789
1,5,1,1,17.144010744542065,1,14.707923313345638
7,7,1,0,16.64664569397445,0,9.380995616089262
7,6,0,1,19.951370981306564,1,15.628582116849511
4,6,0,0,20.208692423085783,1,15.757259157488932
12,3,1,0,15.711471120537254,0,5.713575503219407
3,6,0,0,20.17992511670196,1,16.425834274946453
12,5,0,1,18.232694215812334,1,13.13475833620774
7,7,1,0,15.53828212445614,0,6.538381315797831
6,6,1,0,21.049735390950445,1,16.165329686158653
5,7,1,0,17.937725166903945,1,14.378605452485164
10,7,0,0,19.90776025610881,1,14.53080730304937
15,6,0,1,16.472315380639895,0,7.013723692911366
3,3,1,1,16.28565222690958,0,8.385967376612552
5,6,0,1,17.560633007843805,1,13.727356782423758
9,4,0,1,18.15539735611291,1,12.58505721799688
3,7,1,0,19.977585323173592,1,16.294264976261385
3,3,1,0,18.14883672445457,1,14.038961990501976
10,4,0,0,16.423680735943915,0,7.64228197099012
9,3,0,1,16.928455731684657,0,8.989178660299187
6,5,0,1,14.299859543416202,0,5.206844917863154
14,3,1,1,16.370659943467132,0,6.535674413406066
8,4,0,0,19.55566156314384,1,14.174063556332746
3,4,1,1,16.401490401357094,0,8.700097161433805
9,5,1,0,13.5897748415219,0,3.502641092579411
4,6,1,0,16.817995647139,0,9.942958824569144
8,5,0,0,17.576196671241597,1,12.697173256074429
6,4,0,0,15.98767786994516,0,8.007741964139704
9,6,0,0,17.485946160824753,1,13.98871056442212
2,5,0,0,19.73841970166108,1,16.301562108386307
9,3,1,1,15.114034636947483,0,5.9162532895265
5,8,0,0,15.575697617292583,0,7.569656411788465
5,6,0,1,20.36444365073631,1,16.47773887894832
6,5,0,0,18.27430607564946,1,14.034146728016774
7,3,1,1,13.301035787766448,0,3.29036801515105
13,5,0,0,16.539128374423232,0,7.040758342692175
8,6,0,1,18.023956504907066,1,13.236252603754378
9,5,0,0,19.335455033212288,1,13.980840344089383
10,6,1,1,15.382474028618194,0,5.500489170458587
3,6,0,0,17.84561249629789,1,13.948511991877409
9,4,0,1,17.717014364430796,1,12.348738810349712
8,4,0,0,18.15895805009985,1,13.180290891606612
6,4,0,0,21.5244917775568,1,16.36792676535834
11,4,0,0,18.81688740739133,1,13.614920179163924
10,1,0,0,15.01912674817268,0,5.60786397528502
10,7,0,1,17.498511945467033,1,13.94083028871452
9,7,0,1,16.90377476031193,0,7.320217057527314
11,5,1,0,19.85449408942824,1,14.370708517111044
14,7,0,1,17.26213055266446,1,12.379610819748246
9,7,0,1,20.30578783256476,1,14.604401584841682
3,4,0,0,16.17583477594922,0,8.9820339350497
10,5,0,1,16.90720281075295,0,7.738306548340279
11,5,1,0,17.500703929236355,1,12.099925128371428
6,5,0,1,20.3604107468003,1,15.138737823262984
10,5,0,0,16.521889106927716,0,7.888405943338138
10,3,1,1,18.336082098879118,1,13.019305910685814
8,6,0,0,15.163836859583904,0,6.218129545303115
10,6,0,0,18.58076855502981,1,13.514838514908911
8,4,0,0,16.008979383392997,0,7.203239138753365
10,7,0,0,18.74462934715156,1,14.015267584685676
3,9,1,1,15.73656955615553,0,8.556673390950086
11,5,0,1,16.201975586738122,0,6.284430303727882
8,6,0,0,16.626087582066393,0,8.402631985331036
5,4,0,1,15.265381003299956,0,6.160845226781615
8,6,0,0,16.357752151516163,0,7.817105555550556
6,3,0,1,16.664739230302278,0,9.080565130593891
1,5,1,0,17.020905616741846,1,14.5146456324232
5,7,0,0,12.646465309939153,0,3.140173790374161
10,5,0,0,16.189186057273087,0,7.7051510439539
7,6,1,0,11.294104571309331,0,-0.1056100076140482
13,6,0,1,16.534482066640532,0,7.6261434493949904
15,5,0,0,15.2619977496241,0,3.5257855850850635
7,3,0,0,15.878828995857214,0,6.890980110311805
8,7,0,1,17.839235676629038,1,12.377239281163028
6,4,0,1,15.424467379721587,0,7.561315830485589
10,7,0,1,15.397479553677464,0,6.826680441906011
11,5,1,0,18.93374569065434,1,13.948750405337018
7,6,1,0,16.504100016202827,0,7.531878486415298
9,3,0,0,15.58393223884137,0,6.414759388356943
9,4,0,1,14.964257980989656,0,4.97161284077605
16,6,0,0,18.24218800546068,1,12.013342679575654
6,5,0,1,19.725458243938554,1,15.539954849732393
5,6,0,0,18.58855004791128,1,14.240598424713555
6,5,0,0,18.717040737672736,1,13.58317437007296
9,4,0,0,18.180340350724432,1,13.39820189978883
8,4,0,0,14.422002699546187,0,4.11803696115781
10,4,0,1,21.7750796998413,1,16.101421665422496
8,6,0,0,16.8879695663811,0,8.3443759330361
9,3,1,1,16.562864018103287,0,7.517147419736323
12,4,0,0,15.854556846997664,0,5.490358451240936
12,6,1,0,17.660186772457887,1,12.348121459528905
10,9,0,1,12.994363637327757,0,1.8894214535773572
9,5,0,1,18.035539932485232,1,13.39306145431722
1,6,1,0,19.760494981809085,1,16.83581378069269
9,7,0,1,17.827641726451297,1,13.084963414951432
6,7,1,1,17.55275355806376,1,14.097244207753404
9,5,1,0,16.85040479198097,0,8.341356099729913
9,7,0,0,18.805789855294535,1,14.670325432498585
12,2,0,0,14.421787076423096,0,3.300742634393629
10,4,0,0,16.382246891664845,0,7.16356474020317
9,5,0,0,17.446981727912473,1,13.629818214702745
5,5,1,1,17.551684941119394,1,14.21823045525465
14,5,1,0,18.66335384848092,1,13.75792777158919
3,5,0,0,17.736006945504474,1,14.64782045614096
7,6,0,0,17.960115709763002,1,13.90804799316543
8,6,0,0,14.74122361060973,0,6.629441872818262
10,6,0,0,18.18334678652998,1,15.290232946542892
8,5,0,0,17.381549270266866,1,12.839860663636998
10,7,0,1,16.57133743793784,0,7.968020638100688
6,7,1,0,15.27421660929113,0,7.595502436935827
13,8,1,0,14.451047885141058,0,4.517556699190301
7,6,0,0,14.338690001216063,0,4.841978889804308
8,6,0,0,15.6888500229734,0,6.790868362755329
15,8,0,0,16.479783056646905,0,7.391419278443312
13,9,0,1,16.84354445116617,0,8.106285834256918
10,7,1,1,16.17245846795835,0,6.981182070374893
0,7,1,0,16.236851659186517,0,9.033545521188447
4,5,0,0,13.424634099939986,0,3.922355866360891
10,4,0,0,20.97225588590505,1,15.386124311869189
7,6,0,0,14.416195354289272,0,5.456588634092627
5,5,0,0,17.008725923841496,1,13.75280669587034
9,6,1,0,18.162892862214363,1,14.004299244754993
2,5,0,0,16.603489535882513,0,8.585721443878594
7,7,1,0,17.166701378444703,1,13.19260310315108
5,5,0,1,13.508752936119862,0,3.203639101284717
5,8,0,1,20.647998739506992,1,15.16555634777005
3,5,0,0,14.6933968928076,0,6.121943377254807
2,5,0,1,15.847369009960286,0,7.362914914078718
5,8,0,1,16.771855296372173,0,9.417193217741136
5,4,0,0,19.576717683638154,1,15.824496092159777
3,6,1,0,16.302266571972186,0,9.385251894166505
13,7,0,1,18.62791419929279,1,12.863903615602116
5,7,0,0,17.844786440879364,1,13.266359781436169
10,6,0,1,16.98080863717036,0,7.873544189070392
10,4,0,0,18.274697424586822,1,13.208483640628192
6,8,1,1,18.74676529877388,1,15.346410043351035
8,7,0,0,13.381558041344414,0,3.9555902201556736
4,5,0,0,18.50999093811254,1,14.94745660885432
