defendant_age,prior_convictions,gender,minority_status,offense_severity_score,public_defender_assigned,sentence_length
5,5,0,0,25.26801418694505,1,17.23752241090616
1,5,1,1,21.05287222182854,0,8.53285497360087
1,7,1,1,22.56780281501993,1,15.141489546230677
5,7,0,0,24.67150233639665,1,16.37277191289788
12,5,1,1,19.89750682699221,0,4.596417280137789
2,6,1,1,21.978179473512014,0,9.4251936264389
8,7,1,0,23.168145136464965,1,15.11914836413308
-2,4,1,0,24.762787564397897,1,17.492620514476634
11,5,1,0,19.4164520593728,0,4.865363464515358
10,5,1,1,20.983177995578565,0,7.540880198727328
8,5,1,1,21.2947840885308,0,8.549110598832634
15,6,1,0,24.234936951177115,1,15.005488684406847
11,7,1,1,20.11484818182387,0,5.858283891770393
11,6,1,1,23.111374432575357,1,15.10316832772672
8,7,1,1,17.80027848909297,0,3.2193157501651277
10,6,1,0,19.457239729821023,0,4.946982836058352
12,5,0,0,20.726771385034954,0,6.799505660201542
2,6,0,1,21.28060499901284,0,8.28604290620268
7,4,1,1,25.39950809009575,1,16.7469145257919
10,4,0,1,17.558199068454876,0,1.6679385146072023
7,7,0,1,22.272774910955334,1,14.533945044321191
13,5,1,1,21.602727960117825,0,7.872868316201827
4,6,1,1,19.09994720103205,0,5.082757744077508
6,5,1,1,26.703052610973156,1,17.674777041530895
6,3,0,1,20.991845087713774,0,7.460785388531896
6,3,1,0,19.52976664783066,0,4.812877460845957
8,6,1,1,18.402119054551804,0,2.7046418657543136
3,7,0,1,21.774608148731584,0,9.629053724777098
10,6,1,1,23.050333452701043,1,15.249734534700336
8,6,1,1,21.63546984566447,0,9.135312553612646
7,7,1,1,19.935720232361025,0,6.570431989734319
10,6,0,1,24.299245430915597,1,15.730296097677702
2,5,1,1,21.44304319848551,0,9.028286222843825
5,6,1,1,22.480696410369696,1,14.394033804659506
13,5,1,1,23.20877272711116,1,14.658815702492092
8,6,0,0,23.260364580387485,1,14.536357899364354
5,7,0,1,22.435316358372663,1,14.622370805836065
12,4,1,1,24.52265954705599,1,15.76841007751546
8,2,1,0,23.04538917687397,1,15.693443260860546
5,4,1,1,20.07757897827167,0,6.463097414925134
8,8,0,1,19.82733159476317,0,6.439669520069416
13,6,1,0,23.08638121795388,1,15.458687960201388
2,7,1,1,24.644106173733302,1,16.779243722791332
11,5,1,0,20.47190959299227,0,6.679580354729752
7,8,1,1,19.021884469865466,0,4.492992485560241
8,6,1,1,20.44179340411258,0,6.481128416607468
8,6,0,1,21.99063480126016,0,9.399533744203184
8,7,1,0,22.77490124490217,1,15.33489040194342
6,7,0,1,23.904078011548197,1,16.022455949493295
8,6,1,1,17.336424560615974,0,1.9036742475630208
12,6,1,1,19.36137192172419,0,4.753788984825114
7,4,1,1,23.91507330368355,1,15.385045992491184
13,9,1,1,23.508657723785976,1,14.916991698217082
10,5,0,1,20.32226003776333,0,6.596804307472737
9,6,1,1,21.80228415832373,0,9.31714739576775
6,6,1,0,19.962138494050556,0,5.232389375457495
10,6,0,0,20.65280752997712,0,7.065185747163441
7,6,1,0,21.4615673906834,0,8.297178233762617
6,6,1,1,23.9895249594279,1,15.113471759124325
3,6,1,1,18.767734211013387,0,4.427327005764078
7,4,0,0,20.962773361479773,0,7.124893821930402
3,7,1,0,22.650928637146336,1,14.949530920809387
7,4,1,1,22.54016959124052,1,14.653842824638645
6,5,1,1,19.799090451623552,0,5.329667371333661
9,5,1,0,18.082436938364104,0,3.227932466842839
2,5,1,1,22.16046452682372,1,14.93560612453844
4,5,1,0,21.759330709960093,0,8.776193505086505
10,5,1,1,21.33847738922537,0,6.863515699237856
1,6,1,1,22.269159851651835,1,14.527402047268565
7,3,0,1,20.880017290976816,0,7.496217042455631
2,3,0,0,27.248475813401583,1,18.3772677713814
11,7,1,1,21.185942697862103,0,7.558231251074846
0,4,1,1,23.54067228384991,1,15.636373445905535
7,5,1,1,19.49657535757634,0,6.30708693400127
13,5,0,1,19.74272281856064,0,5.343785671688621
3,6,1,1,20.99692491355568,0,8.210907372964423
5,5,1,1,23.9176785152117,1,16.04444192116934
7,7,0,1,25.17419087238727,1,16.118206607613526
11,5,1,0,24.21466525241541,1,15.805076448450343
13,5,1,1,22.65614900023449,1,14.413711530135036
2,5,1,0,22.514646661641383,1,15.32485276186071
7,5,1,0,18.821579223918818,0,4.876169863319061
8,5,1,0,19.673052736749543,0,6.4964335746771935
7,4,1,0,24.950136111473597,1,16.50263887824536
12,8,0,1,20.939999003317844,0,7.401562783002593
6,4,1,1,21.250816431167724,0,7.882844796621699
9,6,1,1,21.19291440214927,0,7.41777116401517
11,7,1,0,23.26963419847589,1,14.749281770268327
12,5,0,0,18.95812865385331,0,4.208320839992279
9,4,0,0,19.510061841013474,0,4.927261059599558
4,5,1,1,22.03156887325351,1,14.03883503172763
7,8,1,1,22.990829114338045,1,15.606271099084449
9,7,1,1,23.760794009401685,1,15.330450212530314
5,7,1,1,21.7038816325868,0,8.442021846635058
4,6,1,0,23.446230724370828,1,15.61924692204335
9,5,0,0,23.29684016143651,1,14.435897308341955
9,5,1,0,23.502109935907225,1,14.598498097281556
11,6,1,0,24.84437570279945,1,16.259373093336002
8,5,1,1,21.78227239688913,0,9.291519029801693
10,6,1,1,23.10706492476745,1,14.28326135739712
8,5,1,1,20.53619170983293,0,6.914399758437503
3,7,0,0,22.03976993087058,1,13.173524612148752
8,5,0,1,21.16473135297719,0,7.499925706320125
6,5,1,1,23.06357291676574,1,14.91119016112627
12,6,1,1,22.971967775073903,1,14.58408228321453
8,5,1,1,21.45413587721556,0,8.00776396464004
7,5,1,1,21.048359461216084,0,7.5754163316064655
13,5,1,0,22.723620612392544,1,15.12814392042734
8,9,1,1,22.10178935875896,1,13.300076264581028
8,3,1,1,21.60310824590188,0,9.043971769323347
11,5,1,1,28.122954503787177,1,18.518281526494224
4,6,1,0,20.013331418092083,0,6.332321880275616
5,4,1,0,21.77731789933352,0,9.532475346162393
3,6,1,1,19.18734388534715,0,4.66163997094888
9,5,1,1,21.12451389952074,0,7.505704271952951
6,5,1,0,21.60941347914333,0,8.436179242894823
6,4,1,0,23.242643062540186,1,15.671644348324577
4,6,1,0,22.55425424997572,1,15.074274282920047
11,6,0,0,21.138421088357344,0,7.744182855936331
2,4,1,1,23.551410046278733,1,15.952930142973438
7,4,1,1,20.98888644480465,0,7.264170227703715
10,7,0,1,19.161377811433017,0,4.900808223930758
8,4,1,1,20.268553060251715,0,6.158692448844918
4,4,1,1,22.247571960371133,1,14.576633194860232
11,6,1,1,25.848659713941174,1,16.438989198275923
14,2,0,1,23.36317495259919,1,14.3034868896595
5,5,1,1,26.01817859668896,1,17.869366881376216
5,6,1,0,21.531098158069387,0,8.746890648723756
7,5,1,1,19.35558113819995,0,5.5833163708271805
5,7,0,1,22.91179497744755,1,14.248546994270194
6,3,1,1,19.813173936888397,0,5.758276046990487
0,7,1,1,17.344548025767875,0,3.356202822504499
8,5,0,1,21.88037686529137,0,8.785125745326662
7,7,1,0,22.147792283672217,1,14.220738327477829
4,4,1,0,22.423545154174903,1,14.644951187921624
10,3,1,1,19.001729219017644,0,4.416376529284004
7,7,0,1,23.88779961097442,1,14.776880883648884
2,5,0,1,21.32344339617379,0,8.214910187481085
7,10,0,1,23.611041092440335,1,14.64858570021985
11,3,0,0,22.267042745906668,1,13.21949015224915
6,5,1,0,21.285508003760597,0,8.85906033187855
4,4,1,0,21.783346283813152,0,8.789130472651628
7,6,0,1,20.54588631562226,0,6.2558418780890594
11,6,1,1,22.80233813919506,1,14.367651346630543
12,3,1,0,19.99353487779848,0,5.730925565960147
9,6,1,1,17.292323193626004,0,1.890288542036866
11,5,1,0,23.595558221176244,1,15.063742055080215
9,5,1,0,18.35928253788998,0,3.902534249064733
4,9,0,1,23.84864375526456,1,16.089580631788216
8,4,1,0,22.722326563465597,1,15.510971377430284
11,4,1,0,27.33747658540945,1,19.33873897182624
8,7,1,1,23.342447004134197,1,15.209619092577256
6,7,1,1,23.011866711978705,1,15.189934154070562
6,4,1,1,21.77136701829053,0,8.788202652627694
4,4,1,0,22.150729268975454,1,14.852475573617925
4,6,0,1,22.06195358661858,1,14.098115911572368
11,6,1,0,24.39849387983674,1,15.827976991290608
10,6,0,0,22.463460782796485,1,14.195005067643937
9,6,1,1,20.943578062108745,0,7.82938646396317
8,7,1,1,23.6773298083276,1,15.913167929285851
4,8,1,1,25.374563643537428,1,17.04460514247301
10,7,1,0,20.47439822522348,0,5.8092474425272
11,8,1,1,22.93968840694924,1,14.794314665778098
5,8,0,0,24.524466129874423,1,17.546345857927243
9,7,0,1,25.12794568986068,1,15.845871814245044
4,6,0,1,20.840699925320344,0,7.642946549747191
9,6,1,1,23.89581506341417,1,15.103121441466891
12,4,1,0,21.593997332359702,0,8.869597586208478
3,6,1,1,20.82395606183715,0,7.583910249235331
4,3,0,1,21.09211007534433,0,7.760666409442525
4,6,1,1,20.340960404444832,0,7.131315251043737
3,7,1,1,22.634838491008946,1,13.320566998335728
6,6,1,1,22.488456195355763,1,14.048661202490155
