age,income_level,gender,minority_status,political_engagement_score,policy_exposure,post_policy_satisfaction
10,5,1,0,12.210926525570589,1,12.581703601327394
0,5,1,0,9.68572318828463,0,6.810526621685235
6,5,0,1,14.744004730779528,1,16.117989848639215
7,7,0,0,8.444354197270052,0,1.96338660625638
5,5,1,1,14.51704756971321,1,15.823965538445853
0,7,0,1,15.633425958950369,1,17.01674210601663
4,3,1,1,13.209140490649387,1,15.469377936215997
5,3,0,1,12.509896923577044,1,13.762793836581018
-1,4,0,1,15.02008897026919,1,17.869855040508252
8,6,1,0,7.91716836922727,0,1.834053462224195
10,6,0,0,12.755592426117492,1,13.28327422826146
7,7,0,0,12.607782851905611,1,14.32769824269552
8,3,1,1,9.356415077788697,0,5.265009705552624
5,3,1,1,10.056134218570367,0,6.041575265967224
11,5,0,1,14.914898589414326,1,14.293770582004182
12,5,1,0,11.591734300256,0,6.704857848278985
11,6,1,0,11.275199923542791,0,6.875730584001349
16,6,1,1,11.3284517769964,0,5.761163405626164
4,5,0,0,14.093786497005572,1,14.924685883986855
15,6,1,1,15.02495644039449,1,13.339923117870873
8,5,0,1,10.589645321390869,0,6.189477540220665
9,6,0,0,10.53780095495369,0,6.073487556756911
10,5,1,1,10.776588484042326,0,6.694577190954233
4,3,0,0,10.807302701224838,0,7.576379917136825
9,6,1,0,10.986203590486424,0,5.368490209319338
12,7,0,0,14.22762541645318,1,14.600350651558928
4,4,0,0,12.88482585274356,1,15.037494992115118
7,5,1,0,10.424491465209025,0,6.2321196089817255
2,6,0,0,9.022412997515168,0,4.142903112052186
8,5,1,0,10.238245774817605,0,5.249227714821319
11,5,1,0,11.786417373118072,0,7.107890904219113
6,6,1,0,11.240645788671044,0,7.951762845655739
5,4,1,0,15.561492993756085,1,17.72502774775188
9,5,0,1,16.49361452360332,1,16.673458839446756
8,4,1,0,10.21029141988886,0,5.971011018397582
14,6,1,0,11.638907787844191,0,6.389207303065679
8,6,0,0,13.473863043002224,1,13.933296405406812
6,8,1,0,12.83101884321847,1,14.555778121425618
2,9,0,0,9.496116459328611,0,4.516825244729589
9,7,0,1,16.362119122534597,1,16.31789738647827
9,5,0,1,12.405500176039784,1,12.774623568996876
6,5,1,0,13.754894687011143,1,15.040375368982245
7,6,0,1,14.726407560163386,1,16.016670582330406
4,4,0,0,11.894971533868146,0,8.276547615183535
6,6,0,0,14.278634126724995,1,15.76847471621016
8,4,0,0,10.554770934728245,0,6.121636215487146
10,6,0,1,11.00421406938557,0,6.463087437394756
11,6,0,0,13.10256226462586,1,13.482033489559509
10,8,1,0,11.424203991946966,0,5.861535028537824
5,6,1,0,10.489833490146498,0,6.445524555729423
7,7,0,0,10.222592861468314,0,5.817916832612756
7,6,1,0,8.919442352286532,0,3.035421919714286
1,7,0,0,12.7189396008144,1,14.24034106208348
10,4,0,0,13.1046533129738,1,13.143281567649948
10,4,1,0,14.90374229581177,1,15.6677798013345
6,4,0,0,17.39780888934123,1,17.38546516982832
9,5,1,0,9.442634901562776,0,4.1565675293199735
8,9,1,0,10.73718052595468,0,6.300612331455177
7,7,0,1,11.955856854052378,0,7.066360100890454
12,7,1,1,8.995818225829433,0,2.593372571870864
9,7,1,1,13.647594293473649,1,15.008905965401278
9,5,1,0,14.321553140764683,1,14.282283068787278
10,4,1,1,14.860609836229756,1,15.59812114609412
10,5,0,0,11.545859660868512,0,6.513865052298281
8,5,1,0,10.058209990480831,0,5.775417949466292
8,4,0,0,14.174285732189578,1,14.346018433712874
9,7,0,1,11.336617939779613,0,6.590451524644493
3,3,1,1,12.733742562977447,1,15.363003566709114
13,6,1,1,10.245352042233888,0,4.98519259350998
11,6,0,0,12.449988579132407,1,12.90940740488165
5,7,1,0,10.384847849069624,0,6.076720410799821
6,6,0,1,10.248380864398136,0,3.809508352399032
10,5,1,1,11.523543661398564,0,6.619020998036511
6,5,0,1,13.212010709804876,1,14.084486701245211
9,5,0,1,13.683180990077346,1,13.885618902006604
3,4,0,1,12.0002210014822,1,13.876688966893225
4,3,1,1,9.70596301289223,0,5.078635821962265
7,7,0,0,14.464312703117267,1,14.969708498114368
11,8,0,0,9.280844525103424,0,2.8382197297168643
4,6,0,0,11.528152328778305,0,8.196449059614089
4,6,0,1,11.4477643466523,0,7.457271571391407
8,7,0,0,10.19016802873814,0,4.82791550862933
6,6,1,0,11.433381053036433,0,7.84152583290286
15,5,0,0,12.249895164435426,1,11.362968451424477
7,5,1,1,12.824959444150238,1,14.410863992039634
10,3,0,0,13.931051328238764,1,15.015700747267836
8,3,1,0,12.28458617676138,1,13.570599746127902
9,4,1,0,15.368824755365928,1,16.146934258118797
13,5,0,0,12.53031510105972,1,12.633418133018978
6,6,0,1,13.777784783778424,1,14.321378751692054
10,7,1,1,11.699280496652976,0,7.452851296792206
7,4,1,1,13.6668293153834,1,15.136090963571778
7,7,0,1,15.802884030407792,1,16.038980840268835
3,7,0,0,10.407195920172382,0,6.761548975169541
10,5,0,0,14.385906807744188,1,14.01910670115752
12,6,0,0,16.731134715092555,1,15.935276456880333
8,6,1,0,12.919087155572182,1,14.941547814320542
6,7,0,0,15.100472514184514,1,15.81813213378543
7,8,0,1,12.269546124577964,1,13.991078722694471
12,7,1,1,12.227986705703673,1,12.711305545281512
10,5,0,1,12.774724587621948,1,12.991665803293794
11,7,1,0,7.357542400119474,0,0.4372481064498322
4,4,0,0,11.390737583596149,0,7.811997393102665
6,8,1,0,10.13723755296568,0,4.834122544951208
1,6,0,1,9.88857107487678,0,6.679730903704345
9,6,1,0,11.23716365096911,0,6.588314823899227
2,6,0,0,11.938676945607927,0,10.047432312298012
9,3,0,0,9.286594130167355,0,4.437089300112655
7,7,0,1,10.245741713226463,0,5.464059125178748
3,3,1,0,13.172621780500608,1,16.35654604200741
1,6,0,0,11.089183495746031,0,8.409512981433602
8,6,0,0,11.064317481103258,0,6.25470602097545
5,5,0,0,7.853890537729544,0,2.6755227861255118
3,5,1,0,13.915896747472733,1,16.87067383713576
11,8,0,0,11.001923301741895,0,5.573299730200118
6,4,0,0,13.523351680701545,1,14.874408338268546
11,7,1,1,12.142210535434128,1,11.985394556903614
7,6,0,0,8.85872809301926,0,3.237613711471897
9,5,0,0,10.167277415795173,0,4.825472088823771
7,5,0,0,8.601897424566065,0,3.1097340289067588
10,7,0,0,9.346884472182529,0,2.9696751421304146
7,7,0,0,14.400211816696409,1,15.545079961804866
12,6,0,1,10.08546282117026,0,4.1767096918733495
12,4,0,0,13.915389010667582,1,13.951199625076107
7,4,1,0,13.11366220035023,1,14.24075901682736
7,5,0,0,12.255803671724191,1,13.392340215701424
7,9,0,1,14.00967904944882,1,15.012406954965872
6,3,1,1,13.222733434738394,1,14.488996201629895
5,7,0,0,11.184229604487223,0,7.042464521342488
10,7,0,0,11.862819182020964,0,6.867891808366035
9,4,0,1,8.344384588108232,0,2.843554255115838
7,4,0,1,12.88732726602286,1,13.767489824999892
5,6,0,0,13.15805115056316,1,14.172208441273437
11,4,0,0,14.736612537604277,1,15.262821184218213
15,7,0,0,13.443824662876668,1,12.52835839635572
4,7,1,1,11.72218864090568,0,8.295671345280931
10,7,0,0,13.299125585097848,1,13.98624912730692
15,6,0,0,11.741787753021418,0,5.416856892425338
10,3,0,0,12.464932787767491,1,12.331939624267092
7,5,1,0,9.951790384336562,0,5.929660854376092
6,4,0,0,10.17658133019807,0,5.659090473274964
4,5,1,1,13.294764804846128,1,15.612745996098996
7,5,1,1,10.753028828029253,0,7.007845884754543
11,5,1,0,13.49723850961,1,14.304443094112887
2,5,0,1,11.843213914974204,0,9.318763617758265
6,7,0,0,9.648830853676271,0,5.513263776547491
11,4,1,1,13.580724997900916,1,14.396051596184758
5,5,1,1,12.75603059572416,1,14.458423595425966
13,6,1,1,11.671135361265916,0,7.274412155717637
5,8,1,0,10.010702031008536,0,4.662453890212675
7,5,0,1,10.97183432802102,0,5.816055909716706
8,3,0,1,12.748962188487107,1,13.621419188014766
5,4,1,0,14.068500563988897,1,14.964567425237492
8,6,1,0,12.926115128210643,1,13.44353074020269
3,6,0,1,10.256304645482976,0,5.931243438236159
13,6,1,0,10.692621760436024,0,4.471683898603119
9,5,0,1,11.219885341021648,0,6.422413970910906
7,6,0,0,15.480632500656933,1,15.44819012419452
9,7,0,1,14.751125329874847,1,14.92297338107042
7,5,0,0,11.598717861851426,0,8.41609135773174
4,5,0,1,11.765073225966388,0,7.929505446632125
8,6,0,0,10.708840350454269,0,5.489616767456666
2,5,0,1,7.556455194222392,0,2.671856987578709
7,5,1,1,9.165521876458593,0,4.170147091241464
