age,income_level,gender,minority_status,credit_score,tax_credit_eligibility,consumption_rate
14,7,0,1,20.808324614936524,1,16.842974659281534
11,5,1,1,19.9207357966775,0,8.47715806145062
6,3,1,1,21.2939056558218,1,16.338878633852662
4,7,1,0,19.605546011357283,0,8.853555425634568
4,6,0,1,21.756741340625247,1,17.10732490610867
10,8,1,1,21.31737008911323,1,17.512582124622952
9,5,1,1,17.43430531300376,0,5.74318201538942
11,6,0,1,19.9804642660944,0,10.787519069184134
2,6,0,1,18.75114614953307,0,7.217999568793108
6,6,0,0,18.08180627646172,0,6.803168475370593
14,6,1,1,18.499814623291574,0,7.125990099316452
10,8,1,0,19.85596936774925,0,10.113247968711477
14,4,1,0,20.14167260070341,1,15.987241145381724
13,6,0,1,19.50115574692148,0,8.724439170222821
13,7,0,0,19.035808079925623,0,8.29611927414587
9,6,1,1,18.05473437447719,0,6.430795644501781
8,6,0,1,20.923475204457112,1,16.41974297207089
7,8,0,0,17.70728105723621,0,6.189999560266568
6,6,0,0,16.65101803483599,0,4.331043579945272
10,4,0,1,18.708760444063888,0,8.17933670200262
13,8,1,0,21.407899093406314,1,17.234660473519245
6,6,1,1,20.413418044526207,1,15.880636320227616
6,5,1,1,17.71193144362248,0,6.321420635157849
9,5,1,1,18.215786081937143,0,7.612846145714887
10,6,1,1,21.247217263733955,1,16.701871481627045
4,6,0,1,19.567380873872256,0,9.42453399753273
9,5,0,0,16.756820928051877,0,4.598454097789816
6,6,1,0,17.933710902354413,0,6.367242569471163
7,5,1,0,20.42728515122713,1,15.969300266078028
7,5,0,0,21.46062093637968,1,17.454253540408356
13,3,0,0,20.970218798289107,1,17.60899548520752
6,4,0,1,21.56082032890177,1,16.990528538747764
6,5,1,0,14.285706073891005,0,1.456026176761197
11,3,1,0,18.559618017822817,0,8.367201122317194
9,2,0,0,18.606159561026924,0,8.031380978022183
7,4,0,0,22.941189968060524,1,17.874284829334886
6,9,1,1,21.475920000834737,1,15.78228997334342
8,3,1,1,21.054457043817816,1,16.07787884081971
7,5,0,1,18.745298615903813,0,9.037894749185718
4,4,0,0,19.21908731036975,0,8.740192990214618
8,4,1,1,19.31195932210671,0,8.120120942631477
4,4,0,0,21.563167016931203,1,16.891626909982886
5,5,1,0,21.4464642870157,1,17.162171846095518
8,6,0,1,22.13110356874882,1,17.17281327916294
6,7,1,1,16.7495712871588,0,4.330975225547359
13,7,0,1,19.58113742826472,0,9.059520517796178
5,4,1,1,20.23012562637805,1,15.869698344856246
10,6,0,1,19.820367753489517,0,9.804481823412228
3,5,1,0,25.186881491300653,1,19.2955593165348
9,3,1,1,19.420836967976,0,9.185197514580524
10,5,1,1,19.714879156282034,0,8.328769927706052
6,7,0,0,17.280135164568037,0,5.2213662457665455
12,3,1,0,18.67482227017405,0,8.323546958237843
6,5,1,0,22.32569257883929,1,17.480412923094487
3,4,1,1,19.43401046664412,0,8.092794135585523
11,6,0,0,22.15881172493301,1,18.524655691724885
4,8,1,1,17.768526124547535,0,5.906044931876099
9,6,0,0,21.99155572228979,1,16.870350015195335
5,6,1,1,19.63596242854605,0,8.377234329019169
10,7,0,0,19.826983209290315,0,10.174038528595434
10,3,1,0,22.327994420482163,1,17.6960174064656
6,5,1,0,21.72433315907045,1,16.372170819043877
8,7,0,1,20.63195045460857,1,15.552602902056792
15,3,1,1,18.42603675975608,0,7.558989023731345
10,4,1,0,16.35087787576841,0,5.39608970202154
12,7,0,0,26.165406671990414,1,21.709261220836375
8,5,0,1,17.838780047886928,0,6.673077041991781
11,6,0,0,21.919640830196865,1,17.69536861748295
11,5,1,1,17.526437544255966,0,5.8562154970555484
4,8,0,0,21.040274317868946,1,16.13425988822671
6,6,1,1,17.780146233086587,0,6.938645270676103
7,5,1,0,18.13935277630025,0,7.42207311723799
8,5,1,0,22.04587416410783,1,18.388417733422507
8,4,1,0,21.092016965594837,1,16.603035930542585
5,3,1,1,18.98813248991289,0,8.053705475340745
6,6,1,1,18.134323670717027,0,6.021688294402324
10,3,1,1,21.278617488689022,1,17.425720092343983
10,5,0,0,18.5833506404193,0,7.841564187275451
12,6,0,1,19.2293013705622,0,9.502963193776957
8,6,0,0,18.495895202371877,0,7.332120900999659
8,4,1,0,19.39760223084131,0,8.670265326464445
8,7,1,1,18.42209247166346,0,7.56899530233412
8,8,1,1,20.52540680105154,1,15.793031245475763
4,8,0,1,16.629749582219862,0,4.039873429852284
5,7,1,1,21.005393479240816,1,15.623034297594504
6,6,0,1,20.015153626194813,1,15.85930705798446
10,7,0,1,15.11447879829298,0,2.4393631106701865
9,6,1,0,19.823353230983702,0,9.176178272165595
7,5,1,1,22.029618184518345,1,17.78251268481668
7,6,1,1,18.16920101539652,0,6.37615647050861
8,5,1,1,20.577514020896206,1,15.537831996472466
8,5,1,1,17.814724115146895,0,6.021260838519007
8,6,1,1,20.98966134021783,1,17.11778175271471
11,4,1,1,23.810090105739583,1,19.635626774754183
5,5,1,0,19.434013889415397,0,8.685505050205215
2,6,1,0,19.27023693023437,0,9.440023886390223
6,7,0,1,22.38122276032286,1,17.834376696901952
6,7,1,1,20.793535989240205,1,15.12994704694803
9,7,0,0,18.005816675778153,0,7.367439855402271
3,6,0,1,19.398113131162734,0,9.30341077971537
9,6,1,1,19.14191377797764,0,8.64436323914736
11,7,1,1,21.800521764742683,1,17.449017144705206
6,8,1,0,18.367029472201096,0,6.602225795298766
6,5,0,1,19.992349526827475,0,9.001353542295812
4,5,1,1,17.991770146943228,0,5.608513790869938
5,3,1,1,19.20456676642726,0,8.643140378972728
1,4,0,1,18.88928037761917,0,7.653530662523728
12,6,1,1,20.73075531771944,1,17.26381896935264
12,7,1,1,19.78193988729481,0,10.03850135712194
10,8,1,1,21.81227719168037,1,16.85594405973893
11,4,0,1,16.83650012538671,0,5.586018471656307
1,5,1,0,19.731125213618203,0,8.587154447592102
5,5,1,1,23.95962258253477,1,18.185067372251584
4,5,1,1,19.26443321178548,0,8.365123971187373
9,7,1,0,17.761949176033152,0,6.679893299048376
13,9,1,0,22.994928714165987,1,18.689003083514567
4,6,1,0,17.629345159756426,0,6.85709608700121
8,6,1,0,21.66955378323916,1,17.09461627611311
9,4,1,0,22.135252095265905,1,17.235336696698717
3,3,0,1,19.096515613171736,0,9.125202940241284
3,4,1,0,17.757711819401617,0,6.373940288685949
5,5,0,1,23.51983882200413,1,18.032154725558357
4,5,0,1,22.47229248287857,1,18.010347396545587
11,7,1,1,19.97123960478381,0,9.584074381256269
10,6,1,1,15.419273438302794,0,1.92561150655278
6,6,0,0,16.803620091309732,0,4.816353270473774
9,7,1,1,19.29305198319553,0,8.530280073834113
10,6,1,1,19.897396485473816,0,9.589346465588658
0,5,1,1,17.379601218801287,0,6.297929178480718
6,6,1,1,14.405302053453784,0,1.159030362080076
7,5,1,1,20.33499746767402,1,16.873391134941226
12,4,0,1,19.817739859154774,0,10.447091439300513
9,6,1,0,21.36724028736529,1,17.678371725971704
11,7,1,1,19.249080944202763,0,9.489391894771396
7,8,1,1,15.754223580625538,0,2.282104948288997
5,7,0,0,18.917563818608468,0,7.165108069885831
0,5,0,1,21.508526787030007,1,16.643319552298518
3,6,0,1,21.607894950659247,1,16.462119591206402
7,4,1,1,18.09630610750397,0,6.943870365876386
5,5,1,1,18.63383397887419,0,7.269269581400462
9,5,0,0,17.747294965136074,0,7.422023112374307
8,5,1,0,19.56888949549267,0,9.281175910119108
3,7,1,0,20.48491743367985,1,15.786189126561624
3,6,1,1,20.26793226823152,1,15.175684702556742
4,6,1,1,19.099345674536103,0,8.044490426127432
7,6,1,1,17.74345457038977,0,6.566758593376996
4,8,0,1,18.09084015789635,0,6.126224783887049
10,5,0,0,19.92788894193009,0,10.1385166407204
4,5,0,0,24.18107010974059,1,19.56101988236009
10,4,1,1,19.913514186622223,0,10.561728975167778
7,6,0,1,19.932938700576464,0,9.655578548721314
9,4,0,0,19.41361506167972,0,8.502048079103822
4,5,1,0,20.77009542607184,1,15.578087032470116
13,5,0,1,19.37197516516869,0,9.199506081366351
8,5,1,0,22.48562586974503,1,17.26675970325256
14,4,0,1,22.05797064308136,1,17.996956357185393
10,5,1,1,18.84976923970595,0,8.078616803007428
8,4,1,1,20.019173125181084,1,16.157158063914164
10,5,0,1,22.12048764608536,1,17.505127386809107
6,6,1,1,16.148666442586862,0,3.908941209555434
6,4,1,0,20.257142684288844,1,15.321049697577008
9,3,1,1,23.19452032259024,1,18.04725090067308
7,7,1,1,21.16671383156244,1,15.740375380922204
5,5,1,0,20.712836835408584,1,16.545871324970353
5,7,1,0,21.18595223130833,1,17.102430315479943
9,4,1,1,21.121256967738343,1,17.783074818079665
12,6,0,1,22.68599771293083,1,18.533655922349084
3,5,1,1,20.60109560017668,1,16.167494469472523
5,7,1,1,18.84112866986774,0,7.486547450827056
5,4,1,1,18.31333889970465,0,6.355399729805909
13,5,1,1,17.225346250586984,0,6.165194767974612
11,6,1,1,17.666481830042873,0,6.650771356090217
5,3,1,0,16.746827117934373,0,4.779517277016177
9,6,1,1,21.348618195346862,1,17.19481763781786
6,4,1,0,21.37267671382376,1,16.78791085434029
2,6,1,1,18.76472163504455,0,8.08717183444404
10,4,1,1,21.458354465672905,1,17.868529524659596
9,7,1,0,16.48425700508769,0,3.834493060432795
12,6,1,1,18.345634274068825,0,7.193769974556196
5,7,1,1,23.99115343840713,1,18.568834926315933
11,3,1,0,20.723422944967957,1,16.39012162874269
3,6,0,1,20.32192077670816,1,16.012639078658204
8,7,0,1,21.85472987652074,1,17.459761919120673
