student_age,parental_education_level,low_income_status,gender,pre_treatment_gpa,treatment_participation,post_treatment_gpa
8,4,1,1,20.611320144662013,0,6.252166047778044
9,5,0,1,24.700871988295884,1,14.465005337812649
9,6,1,0,22.92805170056149,0,9.466592869524693
5,7,1,0,23.33982597830305,0,9.56550242074703
8,5,1,0,24.424752072900738,1,13.66328260338203
7,5,0,1,26.65644105429229,1,16.028896863381345
10,7,1,1,21.519635014954243,0,8.10157357578676
6,5,0,1,27.00555279772412,1,15.64157628730966
5,6,0,0,27.136559129772472,1,15.09224293125357
11,5,0,0,24.23259249869416,1,13.163365299753233
3,4,1,1,22.79773667255232,0,9.257206923616948
5,2,1,1,26.973420545043705,1,15.386958085234353
5,6,0,0,24.045292141409263,1,12.84655331583806
7,6,0,1,24.551984310892365,1,14.233300433490465
10,5,1,1,23.68925050552524,0,11.016150990116817
10,6,1,0,20.96849514021412,0,6.903359836461687
8,7,1,0,21.77482900965288,0,8.120095500039382
9,6,0,0,25.17667948647156,1,14.722664676341864
9,5,1,0,22.282900933116544,0,9.384038992879985
5,4,1,1,23.07899053408525,0,10.177618827221028
3,6,1,0,26.239594638234664,1,14.573462292814057
17,4,0,1,24.950955692206573,1,14.734701597194274
13,5,0,0,23.10540940802863,0,10.92919584988248
8,6,1,0,24.971876161863893,1,14.06338016338388
5,7,0,1,24.924711025754224,1,14.305214311112866
8,4,0,1,25.704202705872675,1,13.596019158430908
7,8,0,1,25.3657983597424,1,14.78641860505367
7,3,1,0,25.50902371060487,1,13.59888421727076
12,7,0,1,22.924752706152688,0,10.87762495402756
4,6,1,1,28.327245761415465,1,16.890422679403258
6,5,0,1,23.231333173739248,0,10.313037662845286
1,4,0,0,22.51683059700509,0,8.811399571062902
9,6,1,0,25.8092205317246,1,14.898078885258805
7,5,1,1,24.57077421151212,1,14.380165851786767
7,7,0,1,24.000073028235335,1,13.530906445110524
6,6,1,1,26.52377316467473,1,15.928897904450556
14,7,0,0,23.7632627059526,0,11.467608845176104
12,6,0,1,24.59778165004884,1,14.20109483051366
1,7,0,1,23.65163245212533,0,11.536813276932286
10,5,1,0,25.27444876118715,1,14.48814022859538
16,5,1,0,24.555313436526045,1,13.841480197129082
6,2,0,1,21.669079564693916,0,7.551178936749608
3,7,0,1,25.28936734761414,1,14.705158709450012
11,7,1,1,22.23546602932559,0,9.357602494385263
9,7,1,1,22.7629937977098,0,10.578543578255855
13,4,1,1,24.518214021506,1,13.715830961358929
3,5,1,1,22.87965120767729,0,10.203676244582123
11,5,1,0,23.208228196228003,0,10.914898873647738
7,5,1,1,22.67503150288633,0,9.631263925675425
9,4,1,0,21.134771213078285,0,6.466314776806761
6,5,0,1,21.6870350997809,0,7.761211991450251
4,4,0,1,26.74237975844228,1,15.49773632556057
10,6,0,0,24.874471111363505,1,14.09394612633899
9,3,1,0,22.6820293480672,0,8.561636510996752
7,6,1,1,21.81927788673056,0,8.123329417164411
10,5,0,0,25.309043694160845,1,14.29758931706568
11,4,1,1,21.60379482624213,0,8.262657474970583
9,6,1,1,24.633920893973976,1,14.289346867500898
2,7,1,1,28.83550760213392,1,17.08387883896231
6,2,1,1,25.56072372085964,1,13.384353991233835
7,6,1,1,23.54916842505187,0,10.347727755253848
6,6,0,1,22.006979740775737,0,8.075154924322554
