age,income_level,gender,minority_status,education_years,job_training_program_participation,job_satisfaction_score
7,6,1,1,24.51737651948484,1,21.128043620712504
10,4,0,0,24.74701137744124,1,21.47061873313559
3,4,1,1,23.40150262707481,0,10.067221335947345
3,6,1,0,23.192071943951124,0,9.280005716874886
5,5,0,0,21.784429437982684,0,7.854765355181748
9,5,0,1,27.078011432459675,1,22.575201351796004
6,4,0,0,20.693017447176288,0,5.895151524176276
3,7,0,0,25.675364365332523,1,20.581150929716664
5,5,1,1,22.39694593787433,0,7.285063172682215
4,6,1,0,25.48746959754867,1,21.361376927087427
2,6,0,0,26.96995621817688,1,22.597279322061283
3,6,0,0,22.945349291146613,0,9.42822174926686
7,7,0,0,25.773959882740204,1,22.011452562457293
11,4,0,0,24.31990493735525,1,21.35735274128848
7,5,0,0,21.23637048211968,0,7.567097424618268
11,5,0,0,23.444344404862576,0,9.59798020887404
9,4,0,1,21.044513225026652,0,7.128742164595569
11,5,0,1,20.84532193516075,0,6.678540397622634
13,6,1,0,20.6823754618857,0,7.155276890881809
6,6,1,0,22.123061648810054,0,8.859435936800875
6,6,0,0,21.5127770720598,0,7.8547467602216035
7,3,0,1,24.542425164554235,1,21.262347030376496
8,5,0,1,23.33819002312947,0,9.545784588072005
6,4,0,0,23.13394612826382,0,8.487339295912633
5,5,1,0,24.933446497001192,1,21.499311212079853
4,7,0,0,22.728894891872027,0,9.288812938147528
7,5,1,0,23.603898098752524,0,10.06721565742998
11,6,1,1,25.480495678456943,1,22.32270346024424
5,6,0,0,24.283720870308617,1,20.11903248534244
10,5,0,0,20.884873654513257,0,6.462557784427165
8,8,0,0,24.10390717066568,1,20.525843834243933
7,5,0,0,20.466533053171105,0,5.666012420276299
8,7,1,1,22.68232654629028,0,8.821381451311963
7,7,1,0,27.3727749837348,1,23.78813372102874
5,7,1,0,22.09442925389328,0,7.822469900954311
5,6,1,0,27.4863221228632,1,23.05517196876553
5,5,1,0,22.29797816112008,0,7.840689428776426
5,5,0,0,26.050115401601143,1,21.63025365577612
8,6,1,0,24.644087924185524,1,21.149319926168687
12,5,0,0,22.72851417894076,0,10.047903711613388
5,7,0,1,29.117253944821574,1,23.803270810714245
8,4,1,0,21.876283284381223,0,8.587275312711682
5,4,0,1,24.58574444666559,1,20.150759447952527
2,6,0,0,22.32636975133121,0,7.128129380436617
4,6,0,1,26.874186508079923,1,22.115478194788537
11,5,0,0,25.95633009635069,1,23.10424086202896
0,4,1,1,22.278636987165843,0,7.518977916627405
10,4,1,0,23.86410981141704,0,10.855774900220476
