age,prior_convictions,gender,minority_status,offense_severity,legal_representation,sentencing_length
6,6,1,1,23.09887478931422,0,7.1735784233657975
7,8,1,0,23.998428539432787,0,8.441311816273052
7,6,1,1,23.232534804607823,0,6.761361192520271
7,3,0,1,24.30365431913206,0,8.699696141300553
13,5,1,0,23.99234469478751,0,6.807063406037254
4,5,0,0,23.36197235564857,0,7.604420325131244
3,3,0,0,24.228290875405083,0,9.205605621642428
6,7,1,1,21.52577898271479,0,4.617459258289923
12,2,0,1,23.63307836013666,0,6.727780095115491
1,6,0,1,28.09133017871427,1,21.67969231631415
5,3,1,0,25.621404031705502,1,18.56585878648541
17,8,0,1,21.207665146124235,0,3.5068399638358128
13,2,0,0,27.15075305997192,1,19.02912648517742
7,4,0,1,24.041805093525525,0,8.606767708733795
8,7,1,1,26.077524854424865,1,17.404590556006294
4,5,0,0,23.27446530674062,0,7.541061062649818
14,5,0,0,23.00444347791098,0,5.845606598673864
4,3,1,0,23.051366008686514,0,6.457685558307414
3,6,0,0,23.6168527443151,0,7.661861292819099
7,6,0,1,25.380644544140143,1,18.368614377435925
12,5,0,0,23.376078300221163,0,7.435825388153085
1,6,0,1,24.42086964483599,0,9.728551252280957
6,5,0,1,21.643418123671847,0,3.813966441139647
6,6,1,1,25.04172105657467,1,18.012248177684217
8,6,1,0,27.697575628545763,1,20.17742199577636
9,5,1,0,25.6703649114543,1,18.6249526888384
12,7,0,0,25.61676827342215,1,18.00043649186225
11,5,0,0,24.494567078140204,0,8.346829654215034
3,5,1,1,23.907154731373645,0,9.101277181474154
6,5,1,1,25.05005060167784,1,17.865337528213296
13,7,1,1,23.88654412094807,0,8.131839570453115
6,5,1,1,24.769889892213094,0,9.887572823735267
10,4,1,0,25.238954286214035,1,18.40283798599076
7,8,0,0,25.77700375906572,1,18.12134149863522
9,3,1,0,28.036045266914854,1,20.46543980260026
9,5,0,0,24.260790811651752,0,7.664176929995824
7,7,0,0,27.8036156445426,1,20.06471833149829
5,7,0,0,23.929641751840663,0,8.16692422366215
6,8,1,1,24.83201113333538,0,8.973149051535264
10,7,0,1,25.85698334340807,1,18.580369435925785
5,5,0,1,25.661190783111454,1,18.55595943094389
8,6,1,0,29.493058623709302,1,21.783106944258257
9,7,1,1,23.858702887227796,0,8.469701099250168
9,7,0,0,25.336041176374383,1,18.509388022077925
4,4,1,0,21.90274653074697,0,5.409689203045642
9,4,0,0,24.4771840147667,0,9.105824277470276
6,4,0,1,26.120938866650025,1,18.95533119753849
12,8,0,1,26.10551510351109,1,18.754388883292915
7,4,0,0,24.769893526644257,0,10.054455987182155
7,1,1,0,24.45763904508504,0,7.909983432175229
9,5,0,1,24.374128419445903,0,8.89582428814044
8,5,1,0,25.36515053251964,1,18.299552089660697
4,6,1,1,28.20600591754782,1,20.974635475378
5,5,1,1,26.622751410310475,1,19.55733044323009
9,2,0,1,25.540955681709143,1,18.135978814826032
10,7,1,1,27.69911480693664,1,19.849436070928835
11,4,1,1,25.02434988245655,1,16.95983531601356
7,6,1,0,26.104955319316765,1,18.689985597885467
5,6,1,0,26.748131933621973,1,19.612388713191727
2,5,0,0,25.11028902998738,1,17.842419701737068
11,3,0,0,26.68361763978652,1,19.94480409471674
4,5,0,0,27.68609636964929,1,19.59948360355517
5,6,1,0,27.920676191104945,1,20.80824044446524
14,5,1,0,28.128598538482034,1,19.55271018307245
11,3,0,0,24.38654526321488,0,8.1959259465566
7,7,0,1,23.56988982538425,0,8.202847269250091
10,7,1,0,21.81621186666517,0,4.221463339751639
6,6,0,0,19.88031038358159,0,1.4758767260335328
10,7,0,0,21.46994281592584,0,4.117923083523118
1,4,0,0,27.549387691348496,1,20.810082397752694
3,3,0,0,25.21977242488929,1,18.778875332829003
8,6,0,1,26.99100855062533,1,20.220031959289123
7,6,1,0,26.04162972897787,1,18.44555816301836
8,6,0,1,21.194770614356777,0,4.277049970453865
3,5,1,1,27.26227990924893,1,20.384821355224187
8,5,0,1,25.21756506466317,1,17.88955573035249
10,9,1,0,20.673059036537367,0,3.7903522418758895
7,5,0,0,27.000808367043657,1,20.36935142800589
9,4,0,1,24.78733002789004,0,9.228765689128831
8,6,1,1,25.456068992543944,1,19.0670030099977
6,7,0,1,28.030996146761503,1,20.76428185038843
4,6,0,1,24.212658432863915,0,8.746401673807567
6,7,0,1,21.189725587220305,0,4.085687178322235
6,4,1,0,25.815149630178347,1,18.74178906805572
9,5,1,1,24.35112744398681,0,9.445246008711544
10,3,0,1,29.11491645396336,1,20.9124071356175
4,6,0,0,26.983237646354954,1,21.247897980045245
6,6,0,1,26.892795191640204,1,19.99285880672043
10,6,1,0,25.231348860332805,1,17.002221368736873
11,6,0,0,25.90025366710516,1,18.00857310672628
18,6,1,0,25.001764109233463,1,17.622582091036435
4,5,1,0,25.91165839349184,1,18.76280233959467
11,5,1,0,25.556538161334927,1,17.66504135239015
6,8,1,1,23.491258585680495,0,7.545760989619346
8,5,0,1,25.210449487335936,1,17.84859443160937
6,4,1,1,26.698756513057504,1,19.902767005361067
9,6,1,0,26.08085842290789,1,17.95439055702536
8,5,1,1,24.986356469665058,0,8.983052149737887
6,6,0,0,23.802526440412585,0,7.913794888912257
4,5,0,0,25.17126519484841,1,17.8296406124857
7,4,0,1,22.67106692211804,0,6.691108742430908
5,7,1,0,28.79410802887282,1,21.33756664612897
6,4,1,1,25.329293751911635,1,18.335522341226167
6,7,1,0,26.4005278879612,1,18.802292786203395
6,7,0,1,21.000206524262705,0,3.5605227932900467
10,7,1,1,23.280159322320557,0,7.379271304933032
7,5,0,0,24.8017503215483,0,8.594492536893771
5,5,1,0,25.30867027388709,1,18.521176044765
3,3,1,0,24.21468666904007,0,9.571671615608096
12,8,0,1,23.03919728646016,0,7.309723697766826
12,4,1,1,26.470918593279475,1,18.93760078541962
10,6,1,1,23.393571156913904,0,6.769261832575081
10,4,1,1,26.60329327722095,1,19.20052633928339
6,6,1,1,24.64518948586481,0,9.640238353083063
6,5,0,0,25.818231578038603,1,18.791782976155844
5,6,0,0,25.94938062106219,1,19.29962093621597
9,6,1,0,22.85627693565783,0,6.141497904849265
11,6,0,1,25.15937432192958,1,17.885849726866475
5,7,1,0,25.064815480990937,1,18.002967844546937
7,3,1,1,25.846246289453298,1,18.00917270676786
8,7,1,1,22.587446026388665,0,5.605242044998155
12,6,0,0,21.86547302786013,0,4.703588611278658
10,4,0,1,24.993184149062856,0,9.600714670430362
5,7,0,0,24.5328278298262,0,8.147627520092504
7,6,0,1,25.66202802927219,1,18.21864281398274
7,5,1,1,24.567907572413358,0,9.009282785864135
8,6,0,1,24.93129427921396,0,9.461101475366062
10,7,0,0,22.74638015960924,0,6.647095627057212
6,6,0,0,24.12511764773363,0,8.313298893997544
6,6,1,1,28.629307050771946,1,20.493975471795583
5,7,0,0,25.362842030730707,1,17.66170083137577
10,7,1,1,28.075131015024205,1,20.69339187237817
9,6,0,1,29.44127142651193,1,21.840544542062077
12,4,1,0,26.83781439982347,1,18.803416928135125
3,3,0,0,24.09533723497672,0,8.259219146040156
2,5,0,1,24.48062339652032,0,9.262747988980871
7,7,1,1,23.36061237422731,0,6.598043614321627
13,5,1,0,26.92358208833013,1,18.622647699013093
14,6,1,1,26.9034702014114,1,19.22865942758533
4,6,1,0,24.578110223044504,0,9.75908234917357
5,6,1,0,25.494728698985,1,18.354958948638323
2,4,0,0,25.95303573275489,1,19.49377063019741
8,6,1,1,29.228099348856105,1,21.5688524720569
4,4,0,0,23.687735985602256,0,6.827947565222655
4,6,1,0,21.689034687174185,0,4.655966352910619
6,6,0,0,27.383574598115604,1,20.32320400227214
5,3,1,0,24.048362864562257,0,8.622404685544439
8,5,0,1,19.826813942253025,0,2.9880253855654555
4,6,1,1,26.520068099048284,1,20.366201338528523
7,6,1,1,21.953327232755107,0,5.774836432050709
3,5,0,0,26.51652765121995,1,19.481192687927148
6,4,0,1,22.64695745990004,0,6.096396712464631
5,7,0,0,21.05780023746232,0,3.375397327330885
7,5,0,0,26.452268617090027,1,19.091807560733194
13,5,0,0,26.08873045431813,1,17.901251992321495
5,7,1,1,26.668352937486038,1,19.391702964132737
7,6,0,1,25.096102780257294,1,18.715961997010996
10,5,0,1,24.378669937089683,0,9.68863447575696
10,6,0,0,28.020522802965477,1,19.6600113252667
10,5,0,0,24.46987211924236,0,8.946276294968497
5,8,0,0,26.117243028882488,1,18.572969094326737
10,7,0,0,26.230629191461876,1,18.40738858083246
4,6,1,1,23.642136338391957,0,7.969741841759984
4,6,0,1,25.4444092629256,1,18.10360313052481
4,7,1,0,29.333028182797182,1,21.55370840576354
9,5,0,1,25.81176834099947,1,18.60784504935776
5,4,1,1,26.805954985716195,1,19.97199891575584
10,5,0,1,24.78294868440529,0,8.540439784694893
2,6,0,0,25.712134288548643,1,18.166664005905663
7,6,0,1,26.799671505343213,1,18.51486532663227
4,5,0,0,24.864801358190984,0,9.453420522661974
7,2,0,0,25.969384820538487,1,18.98919097439415
9,4,0,0,22.63651560810121,0,5.219408839911626
8,6,1,0,23.271240385075952,0,7.145336569756931
12,7,1,1,25.838967647990867,1,19.0427052178148
4,2,1,1,26.18707723343124,1,19.392989755001818
10,8,0,0,25.23038748815208,1,18.07582007356369
2,8,0,1,27.249315197787464,1,19.958952162940392
10,5,1,0,28.589976782972787,1,20.97999494673508
8,6,1,0,25.48933915126249,1,19.293165861378174
10,5,1,0,25.50342311512664,1,18.839825607434825
6,8,1,0,24.04945797801005,0,7.903451609239569
7,4,0,0,25.21455531095728,1,17.6992457441716
9,4,0,0,21.696037997071667,0,4.309330644890033
2,4,1,1,22.91374785107096,0,6.859986192095389
11,6,0,1,23.69582802047933,0,7.650822424288181
5,6,1,0,23.19038034282293,0,6.700221780349579
6,4,0,0,23.945941902080698,0,7.845050212036612
5,8,0,0,24.523514019625484,0,9.587613835484143
6,8,1,1,26.08118413582878,1,19.02137817938098
7,5,0,1,26.702496278584547,1,19.435229341540456
7,2,1,0,24.52630544518637,0,8.287033942667811
4,6,1,0,24.672183860932904,0,8.892782872851244
6,5,0,0,26.597174064832604,1,18.59239397688801
4,6,1,0,26.2378819647992,1,19.902271698223437
9,6,1,1,26.125772972576996,1,18.686056938704013
10,7,0,1,22.16237997328849,0,5.325143695036624
6,5,1,0,24.67489461655334,0,9.063335044499908
8,4,0,0,28.538253386307847,1,20.473845462260208
2,4,0,0,24.13921893857832,0,8.571557627321056
5,5,1,1,28.72894264597582,1,20.919791295968604
12,7,1,1,28.389524960839523,1,21.09956993373793
10,6,0,0,25.91328413990452,1,18.378839379394677
8,7,0,1,21.15817488799137,0,3.956682349285533
5,6,1,0,22.851695003537685,0,6.897975645261851
