voter_age,income_level,gender,minority_status,political_engagement_score,policy_exposure,voter_satisfaction
6,4,0,1,12.811021205598363,1,14.818734189961717
9,5,0,0,6.926818876538386,0,6.489956225946104
8,7,0,1,7.85744679740904,0,7.4679855453771165
9,3,1,0,9.856714170337495,1,13.12200550077142
6,9,1,1,5.437432528811435,0,4.404194661586912
2,5,0,0,10.993941244091763,1,14.261744234281426
6,4,0,0,8.4674905257355,0,9.625394410087804
10,7,0,0,12.294755566446955,1,15.335623125401495
2,9,0,1,6.297234650680956,0,6.027235187292626
4,4,0,0,8.591208395599065,0,9.63822343431274
5,8,0,1,8.631540793187805,0,8.759308777071775
11,7,1,0,10.594315049297796,1,14.013903292292392
16,7,0,1,12.259433036790124,1,14.909021615666376
7,5,1,0,12.768218546193909,1,14.926230913830029
7,4,0,0,11.239047838635672,1,13.56372179347272
6,3,1,0,9.16530798682406,1,12.899366795152682
3,7,0,0,11.646285774886692,1,13.77701348702688
10,7,0,0,9.800002548978238,1,12.27676465640227
9,7,1,1,10.614022418114928,1,13.98211761678706
4,7,0,0,8.972980655917112,0,9.207454230381735
11,6,0,1,7.491736919173245,0,7.199556882550202
6,3,0,1,8.757163825200264,0,9.835716017019092
9,7,0,1,9.122078515089663,1,12.314680897789538
9,5,0,0,7.481554683165502,0,7.652493378520681
3,7,0,0,5.152109411712308,0,4.845142744575126
5,6,1,1,10.759112914451393,1,14.011096305897413
12,7,1,1,12.537593406354826,1,14.85651388284586
9,6,0,0,11.04737053180142,1,14.146344474188757
4,5,0,0,7.089980820594384,0,7.093536013960115
7,4,0,0,7.445099589812425,0,7.274681836452052
7,6,0,0,9.211113243843524,1,12.950037477860947
11,7,0,1,8.577689605952505,0,8.697956394820093
9,6,1,1,7.1905934183444415,0,6.202010058705945
9,5,0,0,9.291273256879371,1,12.9534598001645
7,7,1,1,4.599634037701934,0,3.2354878404727905
9,4,0,0,12.313277055858332,1,14.8440093000837
6,2,1,0,9.539735212748376,1,12.260323262723748
8,5,0,1,7.362887142526803,0,6.946938538065909
13,6,0,1,5.535416357609033,0,3.9250680659516255
2,7,0,0,8.820074310915084,0,9.095878790364567
8,5,1,0,7.826367630581116,0,8.205870001832382
12,6,1,0,10.0849808707653,1,13.940794373346865
6,6,1,0,8.745191878028978,0,8.50030643842747
11,5,0,0,11.390838641153223,1,14.185368352333738
10,2,0,0,6.842507763807364,0,6.075244312150862
1,7,1,0,9.109202986332887,1,12.776306131585317
9,5,0,0,5.348809983657645,0,3.971111878634434
8,3,0,0,7.279754012280541,0,6.65632550570574
6,6,1,1,9.981469334396229,1,12.85767281142218
10,6,1,0,10.4148274697512,1,13.370570800212096
6,6,0,0,6.8970422203780055,0,5.67850488074001
11,8,1,1,12.750202333935423,1,15.550255162882738
3,9,1,0,11.14751768664402,1,13.567062363632388
5,5,0,1,6.727803561803099,0,7.135123919303207
11,6,0,0,6.382482266124034,0,5.830051658247118
3,7,1,0,9.138846245882378,1,12.108297275975495
4,5,1,1,7.19700270345433,0,6.981683593787585
4,5,1,0,7.889481334963641,0,8.41174527238961
10,5,0,1,8.239153580801826,0,8.237259528882856
6,6,1,1,7.618346240095168,0,8.672219541135512
10,6,0,0,8.661786446351545,0,9.209833401101864
6,6,0,0,10.33084399821592,1,13.177464457986432
6,3,0,1,6.944386613727161,0,6.885638330082713
12,7,0,1,11.491187424975868,1,13.954988062659307
11,4,1,0,6.886903220723298,0,6.431542415655106
12,7,0,1,12.94496464200948,1,15.431219936264956
