age,income_level,gender,minority_status,credit_score,tax_cut_eligibility,consumption_rate
6,7,0,1,11.541927304498753,0,8.184071439956638
11,5,1,0,10.883402448973316,0,6.792445725492346
8,6,1,1,15.711112341700307,1,19.88404276661401
13,3,0,1,14.491501665257664,1,20.150546609877868
4,8,1,0,13.580206003491355,1,18.12190832452442
7,4,1,1,12.847673854555998,0,10.8714079113634
7,6,0,1,10.937541552480628,0,7.898328304058668
3,5,0,1,11.388577291791542,0,7.897049040804132
10,4,0,1,11.35475354205585,0,8.082836252648034
5,3,1,1,17.363895636603846,1,21.47746045536284
2,5,1,1,12.151823061953303,0,9.282522518342924
5,5,1,0,12.68532761201407,0,9.302200804685556
2,5,0,0,11.575129176177658,0,8.260400991948178
7,9,1,1,13.066657443589657,1,18.88314077806323
3,6,0,1,12.436926519356437,0,9.916203677904424
10,4,1,0,16.701413104572847,1,21.393357451760657
11,5,0,1,16.228704018424445,1,21.110847087005496
8,4,1,0,11.270262200477042,0,7.515533690957868
10,7,0,1,11.844395746168228,0,8.117911915555968
9,5,1,1,15.36460646002731,1,19.992596440500076
7,7,0,0,12.95478665411028,0,10.855372351118096
2,6,1,0,8.66583106374583,0,3.4093109094451166
10,6,0,1,12.79270345657219,0,9.274930443732751
6,5,1,0,15.865722311024768,1,20.900896503751717
11,4,0,1,12.683303021774355,0,9.416917664786451
9,5,1,1,9.091170083390326,0,3.616819378308561
3,4,1,0,9.720901286283686,0,5.293004064959747
8,4,1,1,19.819591349067185,1,23.401358011318337
8,6,1,1,12.03034586409013,0,8.839818371116085
9,4,1,1,13.836876047698372,1,19.021483776736822
6,5,0,1,11.3378534194633,0,7.98917861637052
13,5,0,1,12.320707978733152,0,9.428573758283324
11,5,1,1,12.691133931221596,0,8.776188446860369
4,6,0,1,9.47560755342283,0,4.837504400709234
6,6,1,0,10.112962212932452,0,5.414263558303494
7,5,1,0,15.285703813721732,1,19.9796370752419
6,7,1,1,14.581180931567037,1,19.60044201785761
11,2,0,0,14.493179273691997,1,19.56164498865794
6,4,0,0,13.559970714066376,1,18.511126635742585
12,5,1,1,9.959891082964294,0,7.476891472586765
2,4,0,1,13.516779922552944,1,18.639860728118546
9,7,0,0,8.833016198011702,0,3.7386575788111354
12,6,1,1,14.902605589651378,1,19.77854937491606
5,6,1,0,12.134799181658648,0,9.60049180734834
4,6,1,0,8.565561520571103,0,4.172188513433435
5,7,1,1,14.854026594737586,1,20.31240732220869
7,6,0,1,12.867045492867907,0,10.84554638749217
7,7,1,1,12.569849126002936,0,8.825479440332856
2,9,0,0,14.215989092805728,1,19.69905865094768
6,5,0,1,12.20378677768171,0,10.332259359612117
7,8,1,1,12.531534435311144,0,9.769384892848066
10,6,1,1,12.17450173599955,0,9.134268227136095
5,5,0,1,15.715928811372091,1,21.032713294401056
6,5,1,1,11.788428769208933,0,7.342259106764672
8,3,0,1,9.609545889373038,0,5.542025749573182
8,6,0,0,15.032740487054628,1,20.72132905784932
7,4,1,0,11.773301501696809,0,7.948659854243226
8,5,1,1,15.65171602424535,1,20.12439922189082
10,5,1,1,11.476446045454612,0,7.723283348199303
9,4,0,1,11.06555050767614,0,7.382522600419147
10,5,0,0,12.833912842886743,0,10.50206319745785
7,4,1,1,12.92283438630383,0,10.120941597887468
6,3,1,0,10.920141901538347,0,6.884159820358379
1,7,1,0,15.558054432654602,1,19.98622659406532
6,5,1,0,13.558625147417468,1,19.100945381511732
11,8,1,1,13.57931303708792,1,19.08724371818797
10,6,0,1,13.01740872285172,1,18.572290241841745
5,2,1,1,8.514160073814981,0,2.896173373758021
3,5,0,1,15.644875180739891,1,20.30469030441788
1,5,1,0,12.15366493874358,0,7.829640836008492
10,9,1,0,15.674239369079,1,20.800002643332142
12,6,0,1,15.322723042183814,1,20.39225837739408
3,5,1,0,15.048541904466406,1,20.28466906608359
3,5,0,1,12.171323428185392,0,8.821803502688226
1,5,1,1,13.832883079474644,1,19.077374216288096
7,6,0,0,14.830616313224144,1,20.56867831424304
5,6,0,1,13.88182548472662,1,18.50507918446981
5,3,0,1,12.315814758095042,0,10.243031107624931
8,7,0,0,14.418252464590044,1,19.163099954114248
8,7,1,0,11.732862736557818,0,9.329946331198824
11,4,0,1,10.098867069117148,0,6.055232568554434
11,9,1,0,12.061756499062025,0,8.749963790476619
10,7,1,0,14.006266586988469,1,19.76676419552298
8,4,1,0,10.08045618828215,0,5.676249415007123
5,6,1,0,14.718953623377033,1,18.87887512662993
9,6,0,1,12.07153651434976,0,9.424464338495032
6,7,0,1,13.86399986118268,1,18.567238983831334
13,6,0,0,11.778019125613037,0,8.303853546484294
2,7,1,0,12.51807505049637,0,8.838696329099731
4,6,0,1,13.285316169015749,1,18.974929468549984
13,5,1,1,12.818838923451668,0,9.82215433524686
7,7,1,1,13.786650813451862,1,18.8837522685217
8,4,0,1,10.877681554644091,0,7.245948985278733
7,4,1,0,12.6086190159636,0,10.16190206221964
7,4,1,0,12.72258444622545,0,9.675657655979604
9,5,1,0,13.871385555170876,1,19.249569618836343
6,4,0,0,15.54786836476869,1,20.85283610112018
10,4,0,1,10.415160954801989,0,6.388652280716997
7,6,0,1,15.2889350611711,1,20.90703838870326
5,7,0,1,16.077233983166707,1,21.215119445304087
11,6,1,0,11.315604049897926,0,8.46536481403782
9,6,1,1,14.2097688071809,1,19.01476861002562
6,7,0,0,11.365787352401354,0,8.194038462290418
