age,income,gender,minority_status,political_engagement_score,campaign_exposure,voter_turnout
10,6,0,0,1.9159820484852903,0,6.912296111465839
13,3,1,0,1.204985049403664,0,6.462446959985358
8,5,0,1,5.904748925798711,1,18.75969927376252
1,4,1,0,2.307072515241443,0,6.945191843297085
6,3,1,0,2.655462397871974,0,8.420107810431098
10,4,1,1,3.942907706622405,0,11.40712846749257
7,7,0,0,3.4827947412560274,0,8.881224916117977
8,5,1,0,4.628079104340766,1,16.69800336300661
6,5,0,0,6.731323625965842,1,18.56162992035145
7,5,1,1,2.9208639901315907,0,8.10962103948732
14,8,0,1,3.108542258569273,0,8.955805226553373
4,5,1,0,1.593241720214352,0,5.811692104145397
8,7,1,1,5.0491865074670494,1,17.919733008519902
7,5,1,0,4.840186668182818,1,16.818173816192896
9,6,0,1,7.014421550537092,1,18.9266978345992
5,9,1,0,5.811756418852303,1,18.094952016032263
6,7,1,1,1.3288413868112243,0,5.825378398189708
9,7,1,0,3.280728743330199,0,9.254377123541149
1,5,1,1,0.8898182454643995,0,4.9999651482824365
7,6,1,0,2.455090996618501,0,8.245487919324825
13,7,0,1,-0.5069593409173452,0,4.557404760474038
7,7,1,0,6.587810163099505,1,18.959596049003785
14,4,1,1,3.655150141367431,0,9.246874079875433
8,4,0,1,1.5595537931274843,0,6.924336020463181
10,6,0,1,5.67751533910586,1,17.874631445631817
9,5,1,0,3.505827648566899,0,10.312128762753607
5,7,1,0,7.167415346274176,1,19.224958276900427
7,5,0,1,4.880080006124556,1,16.197321167031966
12,5,1,1,3.1876485171051376,0,8.864587101456177
8,5,1,0,2.798347045917449,0,8.188607120969841
4,8,0,1,3.2788159470078337,0,9.37784170259904
11,7,0,1,4.149414566342166,1,16.20543803791467
5,3,1,1,2.9644605249208857,0,7.83622750742847
15,6,1,0,6.102781608774894,1,18.069749954849065
10,8,1,0,1.9252765354015475,0,6.865190393785008
6,4,0,1,3.357979433434011,0,9.412650918626577
4,6,1,0,4.425008075583063,1,15.029629309489922
11,8,1,1,1.5251797438934784,0,7.107006165400556
8,4,0,1,1.1350289771093671,0,6.057189830913906
11,4,0,0,2.895502441796049,0,8.280268401038908
10,5,1,0,5.932652036663498,1,18.707623698264157
12,6,0,0,6.933551936078178,1,19.18428583925634
6,7,0,0,9.640720244994752,1,20.237169520202155
1,6,1,0,4.664316733803463,1,16.272078150054277
12,4,1,0,3.8255391561093535,0,10.233492824681218
7,6,0,1,4.861979897102362,1,16.41017483136321
6,4,0,0,2.969449765968913,0,8.70126156867033
4,7,1,1,5.968651995130153,1,18.217918798479317
2,8,1,0,2.619420722691693,0,8.420842768740494
5,7,1,1,1.9953560950154583,0,7.54187476836076
12,7,0,0,2.3225892711944494,0,7.968622844621083
1,5,0,1,4.661446644768191,1,16.857769685155926
14,5,1,0,2.6516260735968635,0,8.879092625646466
5,5,1,0,5.046587410274511,1,16.38902839434266
6,5,1,1,4.571842241381101,1,17.43725851738753
9,5,1,0,2.496063039877545,0,7.902398134925056
1,8,0,0,4.109644581387598,1,17.356015413513227
