student_age,parent_education_years,low_income_status,gender,pre_treatment_gpa,tutoring_participation,post_treatment_gpa
8,6,1,0,24.47101950354133,1,19.444565186748054
6,8,0,0,27.08686478319845,1,21.76842557323473
11,9,0,1,24.182372279861564,1,20.52258265976647
10,3,0,1,24.835921065328105,1,20.086646504780585
9,5,1,0,25.669280769911524,1,20.84154502622208
7,8,1,0,24.497402511338848,1,19.377968188975988
12,6,1,1,22.71318157959523,0,8.54605116280394
5,7,0,0,23.7254320461495,0,10.160391198891066
0,1,1,1,22.82113617883863,0,8.117297732592442
7,3,1,1,23.884120947026723,0,9.194828434546244
5,3,1,0,23.747455421226316,0,9.305974339082804
3,4,1,1,24.037351166333178,1,19.39685397404088
8,5,0,1,23.93829652334381,0,11.440114392797046
9,6,0,0,27.898880569947963,1,21.5545694772114
2,5,0,0,21.999663181571684,0,7.331768390941826
11,6,0,0,23.728210348350075,0,9.691839167077683
9,7,0,0,22.01279987032857,0,6.1466866226041
14,5,0,0,25.000668324136644,1,20.786047572847984
8,3,0,0,24.996929994608536,1,20.278169614351704
9,7,0,1,24.74307878181995,1,19.29589390623213
14,8,0,0,20.891258504109636,0,5.290730601184216
11,7,0,1,21.67927325965268,0,6.83909328810713
6,7,1,0,28.444388450234744,1,22.904709765933998
6,5,1,0,22.404388117825928,0,8.949679339982268
11,5,0,1,22.807020642146988,0,7.830353243932494
5,5,1,1,23.15529689061416,0,8.839044612447916
9,6,0,0,23.22528234614422,0,8.543267608369653
9,7,1,1,25.92832421170686,1,20.74327014941189
9,6,0,1,25.919241005427715,1,21.28547505201027
7,8,0,1,24.58816551406933,1,20.32121718582304
8,4,0,1,26.6142959747114,1,21.865387040046024
8,5,0,1,25.987352000614653,1,21.383611155647237
11,4,1,1,27.028650813984143,1,22.269410489299737
3,7,1,0,25.27321189306389,1,20.80734191572904
13,4,1,0,24.309871685996796,1,19.76960638310454
9,6,1,0,21.53534503759627,0,5.451356475420761
10,5,1,1,23.21146178951525,0,7.432245589126827
10,4,1,1,26.575024998345697,1,21.397240207407457
6,4,0,0,24.034223738318936,1,19.29451982516209
12,5,0,0,22.685471897749977,0,8.04899073098466
4,5,0,1,23.735999463559622,0,9.18325118391478
10,7,1,0,21.34382085683622,0,5.912136724333948
13,4,0,1,22.297861247945747,0,7.28053549507869
6,5,0,0,22.79823171382831,0,7.634784482715025
6,9,1,0,26.1273055652984,1,21.36948500647679
4,7,0,1,22.52546959992599,0,8.191328325686337
11,5,1,0,22.206484667657676,0,7.831307036098967
4,5,0,1,23.37579938442087,0,10.11696067023781
9,5,0,1,24.10427821097393,1,20.26330620601983
7,5,0,0,22.000662876754863,0,6.711060694582725
11,5,0,1,22.10458036475207,0,6.947701879096552
6,5,0,1,26.91951809774698,1,20.971622785157997
9,3,0,0,23.788797104418663,0,9.759336768382608
9,6,1,1,21.462078991683097,0,6.1994169711047
11,3,0,0,24.399246955508897,1,20.501135987790654
5,5,0,0,25.357589181513507,1,20.68701139321125
7,7,1,1,23.190453708659817,0,8.526174552748623
7,9,0,0,22.986559315703143,0,9.060883528935376
10,8,0,0,23.856962750365053,0,9.805347765596512
0,4,0,1,25.341464208406187,1,19.890104159486853
7,1,0,1,25.88238873083912,1,21.65477705363911
9,6,1,0,26.00961273849596,1,20.908301351632826
8,4,0,0,25.25383533630645,1,21.580178371134245
2,2,0,0,25.751357701989868,1,20.352445687647005
5,8,1,0,22.9407796689433,0,8.056020139067611
13,5,1,0,24.50821734136042,1,20.13485791468313
11,3,1,0,23.3224898573182,0,7.965978305931826
6,5,1,0,22.342788532516284,0,6.459876054829612
7,5,0,0,22.70805398791113,0,7.023165471816252
11,7,0,0,23.25389540109672,0,8.674047677661274
8,9,1,0,22.893807663511865,0,8.227615643700494
10,5,0,0,25.61732922383805,1,20.982089130275497
9,4,0,0,21.536852622738863,0,6.013640802950981
7,6,0,0,21.68609755493665,0,6.562081487273679
5,5,1,1,19.02493374601158,0,2.471426363309781
8,4,1,0,23.840446748713788,0,9.51941480337043
8,8,0,0,26.58882263191873,1,22.025431571948687
6,6,1,0,22.7474653859316,0,7.774310412906232
8,7,1,0,26.69980342576264,1,21.034408800783226
7,5,1,1,21.608936194178177,0,6.103702864944836
13,7,1,0,22.267487124619667,0,8.335377141379539
8,8,0,1,23.34903772989662,0,9.313352880587928
6,7,1,1,23.245724386336377,0,8.392080037093699
8,6,1,0,22.636727533803832,0,8.034252905865088
10,7,0,0,23.23320864072234,0,8.39742452934353
10,7,0,0,25.09196913170718,1,19.95500203434549
7,4,1,0,23.952936504354003,0,9.900415987312584
5,3,0,0,21.1194550389265,0,5.853545969657386
15,3,1,1,22.32350182297133,0,8.241734494319733
8,6,0,1,21.709275992660796,0,5.998470785182407
12,6,0,0,22.54241742455392,0,7.864501664986562
